PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1420; LNum: 28; AvTime: 0.1456; AbsError: 0.0036; RelError: 0.0250 %; TaskPerf: 907683;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1435; LNum: 29; AvTime: 0.1456; AbsError: 0.0021; RelError: 0.0145 %; TaskPerf: 898074;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1435; LNum: 30; AvTime: 0.1456; AbsError: 0.0021; RelError: 0.0146 %; TaskPerf: 898150;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1475; LNum: 31; AvTime: 0.1456; AbsError: 0.0019; RelError: 0.0131 %; TaskPerf: 873609;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1474; LNum: 32; AvTime: 0.1456; AbsError: 0.0018; RelError: 0.0127 %; TaskPerf: 873969;
PModel: AMDRyzen53600; Task: DGEMM; OpType: FLOAT; InstCount: 128849018880; OptFlag: -O3; Time: 0.1479; LNum: 33; AvTime: 0.1456; AbsError: 0.0023; RelError: 0.0160 %; TaskPerf: 871106;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2289; LNum: 0; AvTime: 0.2194; AbsError: 0.0095; RelError: 0.0433 %; TaskPerf: 562916;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2237; LNum: 1; AvTime: 0.2194; AbsError: 0.0043; RelError: 0.0198 %; TaskPerf: 575863;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2241; LNum: 2; AvTime: 0.2194; AbsError: 0.0047; RelError: 0.0215 %; TaskPerf: 574917;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2220; LNum: 3; AvTime: 0.2194; AbsError: 0.0026; RelError: 0.0120 %; TaskPerf: 580308;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2248; LNum: 4; AvTime: 0.2194; AbsError: 0.0054; RelError: 0.0245 %; TaskPerf: 573196;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2134; LNum: 5; AvTime: 0.2194; AbsError: 0.0060; RelError: 0.0275 %; TaskPerf: 603884;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2122; LNum: 6; AvTime: 0.2194; AbsError: 0.0072; RelError: 0.0328 %; TaskPerf: 607207;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2142; LNum: 7; AvTime: 0.2194; AbsError: 0.0052; RelError: 0.0239 %; TaskPerf: 601661;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2155; LNum: 8; AvTime: 0.2194; AbsError: 0.0039; RelError: 0.0177 %; TaskPerf: 597837;
PModel: AMDRyzen53600; Task: DGEMM; OpType: DOUBLE; InstCount: 128849018880; OptFlag: -O3; Time: 0.2152; LNum: 9; AvTime: 0.2194; AbsError: 0.0042; RelError: 0.0191 %; TaskPerf: 598706;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2084; LNum: 0; AvTime: 0.2092; AbsError: 0.0009; RelError: 0.0041 %; TaskPerf: 618366;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2177; LNum: 1; AvTime: 0.2092; AbsError: 0.0085; RelError: 0.0404 %; TaskPerf: 591927;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2115; LNum: 2; AvTime: 0.2092; AbsError: 0.0023; RelError: 0.0109 %; TaskPerf: 609190;
PModel: AMDRyzen53600; Task: DGEMM; OpType: INT; InstCount: 128849018880; OptFlag: -O3; Time: 0.2084; LNum: 3; AvTime: 0.2092; AbsError: 0.0008; RelError: 0.0039 %; TaskPerf: 618279;
